user_id,wine_id,points
0,142,92
1,143,92
2,144,92
2,145,92
2,147,92
3,148,91
3,149,91
3,150,91
0,151,91
4,152,91
1,153,91
0,154,91
3,155,91
1,156,91
2,157,91
1,158,91
5,159,91
0,161,90
0,162,90
1,163,90
1,164,90
6,165,90
0,166,90
2,167,91
6,168,91
6,169,91
6,170,91
7,171,91
6,172,91
2,173,91
3,174,91
6,175,91
6,177,91
6,180,91
7,182,91
3,184,91
1,186,91
3,190,91
6,191,91
6,192,91
8,194,91
8,195,91
6,198,91
2,200,91
2,202,91
7,204,91
7,206,91
8,208,91
9,210,91
4,234,90
2,235,90
10,237,90
1,241,90
11,243,90
3,244,90
6,245,90
6,247,90
2,248,90
2,250,90
4,252,90
5,254,90
4,256,90
5,258,90
8,260,90
6,261,90
2,262,90
11,263,90
1,264,90
3,265,90
2,270,90
1,272,90
8,278,90
4,279,90
4,280,90
3,340,92
6,341,92
1,342,92
9,343,92
8,345,92
6,347,92
2,351,92
5,355,92
8,356,92
5,408,100
7,410,97
5,411,97
1,413,97
2,415,96
3,416,96
7,417,96
2,418,96
5,419,95
3,420,95
7,421,95
3,422,95
1,424,95
2,425,95
3,426,95
9,427,95
5,428,95
1,527,92
1,529,92
3,531,92
2,533,92
2,534,92
6,535,92
1,536,92
3,537,92
9,538,92
9,539,92
3,540,92
3,541,92
7,543,92
1,544,92
9,546,92
7,547,92
7,548,92
3,549,92
3,550,92
3,551,92
3,552,92
2,554,92
2,555,92
3,556,92
2,588,91
6,589,91
3,590,91
3,591,91
2,592,91
8,593,91
2,594,91
2,595,91
2,596,91
3,597,91
10,598,91
6,599,91
6,600,91
9,601,91
9,602,91
12,603,91
6,604,91
9,605,91
3,607,91
2,608,91
8,609,91
9,610,91
9,611,91
9,612,91
6,613,91
7,614,91
12,615,91
2,616,91
9,617,91
6,618,93
6,619,93
6,620,93
2,622,93
6,623,93
2,624,93
2,626,93
6,627,93
2,628,93
1,630,93
2,631,93
2,632,93
3,633,93
8,634,93
3,635,93
12,636,93
8,637,93
6,638,93
10,639,93
2,641,93
10,642,93
2,643,93
6,644,93
6,645,93
6,646,93
2,647,93
8,648,93
2,649,93
5,721,92
2,722,92
9,723,92
0,724,92
0,725,92
5,726,92
2,727,92
8,728,92
5,729,92
0,730,92
0,731,92
0,732,92
6,733,92
2,734,92
3,735,92
2,736,92
6,737,92
9,738,92
3,739,92
3,740,92
7,741,92
2,742,92
1,743,92
0,744,92
5,745,92
6,746,92
0,747,92
10,748,92
9,749,92
4,750,92
2,751,90
12,753,90
2,755,90
10,757,90
1,759,90
2,761,90
1,763,90
1,764,90
12,765,90
7,767,90
12,768,90
12,769,90
2,770,90
7,771,90
10,773,90
2,775,90
2,777,90
12,778,90
1,779,90
1,780,90
12,781,90
8,782,90
12,783,90
1,784,90
1,785,90
12,786,90
2,787,90
1,788,90
6,789,90
12,790,91
6,791,91
0,792,91
10,793,91
1,794,91
2,795,91
4,796,91
1,797,91
5,798,91
12,800,91
4,801,91
8,802,91
3,804,91
3,806,91
3,810,91
5,812,91
3,814,91
3,816,91
3,818,91
2,820,91
5,822,91
2,824,91
2,826,91
2,828,91
5,830,91
8,832,91
5,834,91
3,836,91
3,896,92
2,897,92
3,898,92
3,899,92
9,900,92
9,901,92
3,902,92
9,904,92
3,905,92
1,906,92
1,907,92
6,908,92
10,909,92
3,910,90
8,911,90
3,912,90
2,913,90
8,914,90
7,916,90
12,918,90
9,920,90
3,922,90
12,924,90
6,926,90
3,928,90
3,929,90
3,930,90
3,931,90
3,932,90
6,933,90
2,934,90
3,935,90
12,936,90
12,937,90
9,938,90
10,939,90
5,941,90
1,943,90
8,944,90
2,946,90
10,950,90
5,952,90
0,991,90
0,992,90
3,994,90
3,995,90
0,997,90
7,998,90
10,999,90
6,1000,90
1,1001,90
6,1002,90
9,1003,90
2,1004,90
6,1005,90
1,1006,90
1,1007,90
6,1008,90
5,1011,90
9,1012,90
8,1013,90
6,1014,90
10,1015,90
2,1016,90
9,1017,90
13,1018,90
8,1021,90
3,1023,90
3,1024,90
2,1025,90
8,1026,90
2,1027,90
2,1029,90
2,1030,90
4,1031,90
3,1032,90
9,1033,90
6,1034,90
2,1035,90
6,1036,90
9,1037,90
5,1038,90
1,1040,90
1,1042,90
2,1044,90
9,1046,90
1,1050,90
8,1052,90
3,1054,90
3,1238,94
10,1239,94
2,1240,94
9,1241,94
9,1242,94
9,1243,94
1,1244,94
3,1245,94
3,1246,94
5,1247,94
2,1248,94
3,1249,94
1,1250,94
9,1251,94
9,1252,94
9,1253,94
9,1254,94
12,1255,94
2,1256,94
3,1257,94
2,1258,94
9,1259,94
2,1260,94
12,1261,94
2,1262,94
3,1263,94
2,1264,94
9,1265,94
3,1266,94
9,1267,94
2,1268,90
8,1269,90
9,1270,90
2,1271,90
6,1272,90
8,1273,90
2,1275,90
9,1276,90
5,1277,90
1,1278,90
9,1279,90
10,1280,90
6,1281,90
1,1282,90
8,1283,90
8,1284,90
5,1285,90
12,1286,90
1,1287,90
8,1288,90
10,1289,90
6,1290,90
1,1291,90
3,1292,90
3,1293,90
1,1395,93
3,1396,93
10,1397,93
2,1398,93
2,1399,93
6,1400,93
6,1401,93
2,1402,93
3,1403,93
6,1404,93
1,1406,93
6,1407,93
3,1408,93
6,1409,93
6,1410,93
2,1411,93
3,1412,93
2,1414,93
6,1415,93
6,1416,93
3,1417,93
6,1418,93
10,1419,93
2,1420,92
2,1421,92
6,1422,92
6,1423,92
6,1424,92
1,1526,90
2,1528,90
2,1530,90
5,1532,90
0,1534,90
8,1536,90
0,1538,90
8,1540,90
2,1542,90
6,1544,90
8,1546,90
5,1548,90
6,1550,90
3,1552,90
3,1554,90
3,1555,90
2,1557,90
7,1558,90
7,1559,90
2,1560,90
1,1561,90
3,1562,90
3,1563,90
3,1564,90
0,1565,90
2,1566,90
6,1567,90
1,1568,90
9,1569,90
3,1646,93
3,1647,93
2,1648,93
9,1649,93
9,1650,93
9,1651,93
2,1654,93
9,1655,92
3,1657,92
3,1658,92
2,1659,92
12,1660,92
2,1661,92
9,1662,92
3,1663,92
3,1664,92
4,1665,92
9,1667,92
0,1669,92
9,1670,92
2,1671,92
6,1674,94
2,1676,94
3,1677,94
3,1678,94
3,1679,94
2,1680,94
5,1681,94
3,1682,94
3,1683,94
1,1684,94
3,1685,94
1,1686,94
6,1687,94
2,1688,94
7,1689,94
3,1690,94
6,1691,94
2,1693,93
1,1694,93
3,1695,93
6,1696,93
3,1697,93
2,1698,93
6,1699,93
2,1700,93
2,1701,93
6,1702,93
1,1703,93
2,1704,93
1,1732,92
6,1733,92
2,1734,92
1,1735,92
9,1736,92
3,1740,92
3,1741,92
8,1743,92
6,1744,92
1,1745,92
3,1746,92
1,1747,92
9,1748,92
2,1749,92
3,1750,92
3,1751,92
3,1752,92
8,1753,92
8,1755,92
1,1756,92
9,1758,92
8,1759,92
2,1761,92
9,1793,99
2,1794,99
3,1795,98
3,1796,98
9,1797,98
1,1798,98
3,1799,97
1,1800,97
8,1801,97
3,1802,97
3,1803,97
2,1804,97
3,1805,96
3,1806,96
1,1807,96
3,1808,96
3,1810,96
2,1811,96
3,1812,96
3,1813,96
2,1814,96
3,1815,96
2,1816,95
3,1818,95
3,1819,95
3,1821,95
9,1823,95
2,1825,95
9,1924,90
6,1925,90
5,1926,90
5,1927,90
6,1929,90
6,1930,90
2,1931,90
8,1932,90
9,1935,90
3,1936,90
9,1938,90
2,1940,90
6,1941,90
6,1942,90
5,1943,90
6,1944,90
3,1945,90
10,1946,90
8,1947,90
8,1978,92
6,1980,92
6,1982,92
12,1984,92
12,1985,92
1,1987,92
3,1988,92
12,1989,92
12,1991,92
1,1992,92
6,1993,92
1,1994,92
6,1995,92
1,1996,92
12,1998,92
10,1999,92
1,2000,92
3,2004,92
10,2006,92
9,2041,91
1,2042,91
8,2043,91
3,2044,91
3,2046,91
2,2048,91
10,2049,91
10,2050,91
8,2051,91
6,2052,91
9,2053,91
2,2057,91
2,2059,91
9,2061,91
1,2063,91
3,2066,91
3,2127,94
3,2128,94
2,2130,94
1,2132,94
1,2133,93
9,2134,93
9,2136,93
1,2137,93
3,2139,93
3,2140,93
9,2141,93
4,2142,93
1,2143,93
2,2146,93
3,2147,93
3,2148,93
9,2149,93
9,2150,93
2,2151,93
1,2153,93
5,2154,93
2,2155,93
9,2156,93
3,2344,92
6,2345,92
1,2346,92
1,2347,92
1,2348,92
3,2352,92
3,2353,92
3,2354,92
2,2355,92
2,2356,92
1,2357,92
1,2358,92
1,2363,92
2,2365,91
3,2366,91
2,2367,91
2,2368,90
2,2369,90
2,2370,90
9,2371,90
2,2372,90
6,2373,90
3,2374,90
9,2376,90
1,2377,90
1,2378,90
3,2379,90
9,2380,90
8,2381,90
3,2382,90
2,2383,90
10,2384,90
2,2385,90
8,2386,90
8,2387,90
2,2388,90
6,2389,90
2,2390,90
2,2391,90
3,2392,90
9,2393,90
7,2484,90
7,2486,90
2,2490,90
2,2492,90
10,2494,90
0,2496,90
1,2498,90
12,2500,90
1,2502,90
10,2504,90
8,2506,90
2,2508,90
2,2510,90
0,2512,90
8,2514,90
5,2516,90
8,2517,90
10,2518,90
1,2576,94
1,2577,94
1,2578,94
3,2579,94
1,2581,94
2,2582,94
1,2583,94
6,2584,94
1,2585,94
1,2586,94
1,2587,94
6,2588,94
1,2589,94
6,2591,94
3,2592,94
1,2593,94
2,2594,94
6,2595,94
1,2596,94
3,2598,94
3,2600,94
2,2602,94
1,2603,94
1,2604,94
1,2605,94
2,2606,94
5,2653,90
1,2654,90
1,2655,90
2,2656,90
9,2657,90
5,2659,90
2,2660,90
14,2661,90
9,2662,90
8,2663,90
1,2664,90
1,2666,90
2,2667,90
8,2668,90
5,2670,90
5,2671,90
3,2672,90
1,2673,90
1,2674,90
2,2675,90
1,2676,90
1,2807,90
2,2808,90
6,2809,90
2,2810,90
9,2811,90
2,2812,90
1,2814,90
2,2815,90
1,2817,90
7,2821,90
1,2822,90
10,2823,90
6,2824,90
12,2825,90
12,2826,90
12,2827,90
10,2828,90
10,2829,90
10,2830,90
1,2831,90
2,2832,90
3,2833,90
3,2834,90
3,2835,90
3,2837,90
3,2839,90
1,2840,90
8,2841,90
8,2842,90
10,2843,90
7,2844,90
10,2845,90
6,2846,90
10,2847,90
6,2848,90
2,2879,95
8,2880,95
1,2881,95
1,2882,95
1,2883,95
1,2884,95
9,2885,95
1,2886,94
2,2887,94
1,2888,94
1,2890,94
1,2891,94
1,2892,94
1,2894,94
1,2895,94
1,2896,94
1,2897,94
3,2957,90
5,2959,90
7,2961,90
9,2962,90
1,2963,90
1,2964,90
9,2965,90
5,2966,90
7,2969,90
5,2970,90
7,2971,90
5,2972,90
2,2973,90
2,2975,90
8,2977,90
10,2979,90
2,2981,90
8,2983,90
8,2984,90
9,2985,90
9,2987,90
2,2989,90
5,2991,90
7,2993,90
9,2995,90
5,3014,90
1,3015,90
3,3016,90
3,3021,90
3,3022,90
2,3023,90
5,3025,90
8,3027,90
1,3049,90
2,3050,90
9,3051,90
9,3052,90
1,3054,90
